===== Spring Boot Time-Series Benchmark =====
Instance Type: m7i-flex.xlarge
Run: 5
Spring Boot Host: springboot-server-m7i-flex-xlarge
Timestamp: 2026-01-21T15:02:23+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,72640.04,1.34,3.65
20,69239.43,1.32,3.71
30,68463.76,1.34,3.88
40,72777.88,1.31,3.47
50,78257.17,1.28,2.90
60,77547.45,1.29,3.12
70,73621.78,1.38,3.47
80,68722.30,1.34,3.71
90,66037.50,1.39,3.94
100,64733.73,1.47,3.90
110,68897.85,1.44,4.01
120,72046.83,1.41,3.75
130,70343.87,1.44,3.74
140,72354.18,1.36,3.52
150,66251.43,1.39,4.01
160,68479.27,1.37,3.92
170,69144.01,1.39,3.74
180,72791.07,1.39,3.41
190,70199.30,1.43,3.49
200,72430.69,1.39,3.57
210,64986.00,1.45,3.93
220,65688.31,1.43,4.13
230,68596.08,1.39,3.74
240,71961.74,1.36,3.62
250,73075.45,1.38,3.34
260,72678.48,1.40,3.77
270,69331.53,1.43,3.79
280,65417.45,1.43,4.01
290,67076.03,1.40,3.82
300,68712.57,1.38,3.84
310,68708.66,1.44,3.62
320,74794.53,1.35,3.34
330,71078.85,1.42,3.71
340,66077.27,1.45,3.80
350,68070.55,1.39,3.88
360,67664.78,1.39,3.93
370,66073.89,1.46,4.03
380,73974.16,1.36,3.49
390,73071.16,1.39,3.81
400,72135.29,1.37,3.50
410,69825.52,1.35,3.77
420,71397.22,1.31,3.69
430,67864.05,1.40,3.97
440,73032.04,1.34,3.46
450,77828.95,1.29,3.12
460,74604.49,1.34,3.33
470,72938.25,1.32,3.54
480,69748.86,1.36,3.85
490,70070.04,1.34,3.75
500,72121.70,1.31,3.55
510,76738.84,1.30,3.10
520,76377.69,1.31,3.13
530,77589.01,1.27,3.17
540,71648.31,1.32,3.80
550,66880.79,1.41,3.90
560,68438.79,1.38,3.81
570,71305.77,1.36,3.71
580,73383.32,1.35,3.23
590,72614.85,1.38,3.13
600,71208.15,1.36,3.68

===== Time-Series Benchmark Complete =====
