===== Spring Boot Time-Series Benchmark =====
Instance Type: m7i-flex.xlarge
Run: 2
Spring Boot Host: springboot-server-m7i-flex-xlarge
Timestamp: 2026-01-21T14:29:21+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,74232.96,1.31,3.56
20,60396.28,1.56,4.52
30,63672.06,1.44,4.11
40,69342.14,1.40,3.90
50,73118.84,1.38,3.33
60,71363.10,1.41,3.45
70,70690.86,1.43,3.54
80,66691.39,1.46,3.90
90,65745.39,1.39,3.84
100,68027.89,1.40,3.96
110,72240.19,1.35,3.53
120,75737.07,1.33,3.41
130,73414.70,1.37,3.31
140,71388.93,1.38,3.34
150,66535.52,1.37,3.76
160,70516.03,1.32,3.77
170,70955.35,1.34,3.59
180,75780.17,1.33,3.58
190,75402.13,1.33,3.16
200,74892.49,1.35,3.31
210,70006.61,1.35,3.62
220,70382.24,1.32,3.91
230,71178.73,1.33,3.65
240,75100.51,1.30,3.41
250,75038.16,1.34,3.49
260,72430.16,1.39,3.63
270,71580.33,1.38,3.50
280,66205.57,1.40,3.91
290,68565.17,1.38,3.86
300,66653.49,1.43,3.84
310,68638.28,1.44,3.79
320,73560.66,1.37,3.62
330,72302.31,1.39,3.26
340,69921.80,1.36,3.54
350,69250.56,1.35,3.68
360,70202.00,1.35,3.77
370,70088.59,1.37,3.73
380,73954.97,1.35,3.43
390,72211.55,1.39,3.74
400,72259.12,1.36,3.34
410,68450.77,1.37,3.85
420,68911.31,1.37,3.93
430,68843.94,1.38,3.87
440,72158.44,1.36,3.70
450,76664.45,1.30,3.32
460,73668.18,1.36,3.38
470,70280.02,1.37,3.53
480,68518.07,1.38,3.85
490,66249.49,1.44,4.00
500,67316.85,1.42,3.71
510,71991.82,1.39,3.59
520,72962.73,1.36,3.18
530,73358.08,1.35,3.48
540,69386.17,1.35,3.63
550,68481.85,1.38,3.76
560,69672.42,1.35,3.77
570,71986.30,1.34,3.70
580,72743.34,1.37,3.30
590,78627.48,1.28,3.20
600,74796.03,1.29,3.34

===== Time-Series Benchmark Complete =====
