===== Spring Boot Time-Series Benchmark =====
Instance Type: m7i-flex.xlarge
Run: 4
Spring Boot Host: springboot-server-m7i-flex-xlarge
Timestamp: 2026-01-21T14:51:04+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,73754.17,1.32,3.48
20,68711.05,1.35,3.79
30,65138.40,1.42,4.09
40,71274.73,1.35,3.59
50,70718.27,1.43,3.48
60,73603.60,1.36,3.30
70,74556.29,1.35,3.29
80,69630.47,1.34,3.63
90,65429.88,1.40,4.11
100,66922.09,1.41,4.32
110,73504.65,1.36,3.72
120,73832.26,1.37,3.37
130,76131.38,1.31,3.22
140,72702.72,1.35,3.48
150,65693.38,1.40,4.01
160,67165.45,1.39,3.91
170,69764.42,1.37,3.98
180,72751.93,1.38,3.39
190,73331.02,1.38,3.55
200,76207.18,1.33,3.49
210,67734.91,1.39,3.95
220,65470.65,1.43,3.97
230,67837.49,1.40,3.93
240,70074.27,1.40,4.01
250,74029.30,1.35,3.26
260,75816.60,1.37,3.46
270,69163.64,1.42,3.50
280,67113.17,1.38,3.85
290,69414.68,1.36,3.78
300,68483.05,1.39,3.65
310,74390.55,1.35,3.30
320,76460.83,1.31,3.03
330,72582.09,1.39,3.36
340,70246.76,1.32,3.51
350,69616.26,1.35,3.63
360,71183.47,1.33,3.72
370,74259.50,1.31,3.72
380,75844.08,1.32,3.27
390,76828.09,1.31,3.18
400,74449.13,1.31,3.44
410,68456.40,1.36,3.90
420,68219.17,1.37,3.82
430,70594.38,1.34,3.73
440,75174.34,1.31,3.33
450,72623.21,1.39,3.43
460,74264.42,1.34,3.13
470,69353.72,1.37,3.63
480,68395.14,1.38,3.83
490,68656.93,1.38,3.87
500,68098.72,1.39,3.91
510,67825.16,1.48,3.57
520,69965.25,1.44,3.47
530,69771.75,1.42,3.39
540,66962.23,1.40,3.83
550,67880.74,1.40,3.83
560,69023.36,1.38,3.74
570,65624.11,1.50,4.23
580,67466.77,1.50,3.99
590,68615.69,1.47,3.82
600,67311.84,1.44,3.76

===== Time-Series Benchmark Complete =====
