===== Spring Boot Time-Series Benchmark =====
Instance Type: m7i-flex.xlarge
Run: 3
Spring Boot Host: springboot-server-m7i-flex-xlarge
Timestamp: 2026-01-21T14:40:13+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,77409.18,1.27,3.29
20,67177.53,1.36,3.85
30,65841.44,1.39,3.98
40,71123.59,1.36,3.92
50,74548.18,1.36,3.70
60,73134.00,1.38,3.56
70,73936.01,1.38,3.78
80,68924.20,1.38,3.76
90,65151.28,1.41,3.96
100,67410.11,1.40,3.99
110,71241.14,1.39,3.66
120,75802.79,1.33,3.25
130,75202.06,1.34,3.42
140,72840.56,1.35,3.37
150,66805.75,1.38,4.02
160,68500.56,1.37,3.93
170,71064.53,1.33,3.72
180,77800.24,1.29,3.29
190,76203.90,1.31,3.19
200,76384.61,1.32,3.14
210,68538.11,1.38,3.64
220,70951.05,1.31,3.65
230,69519.46,1.35,3.71
240,72709.67,1.34,3.61
250,72468.46,1.39,3.46
260,73331.57,1.36,3.41
270,74186.21,1.32,3.29
280,68388.75,1.35,3.83
290,71244.62,1.31,3.63
300,71730.24,1.32,3.72
310,77726.75,1.28,3.07
320,72185.75,1.38,3.37
330,76243.60,1.31,3.06
340,73358.07,1.28,3.65
350,71162.56,1.32,3.66
360,71105.18,1.32,3.67
370,70651.89,1.37,3.72
380,73315.40,1.37,3.51
390,74888.12,1.33,3.18
400,73814.36,1.34,3.56
410,69209.73,1.35,3.94
420,68885.22,1.36,3.74
430,69912.65,1.35,3.76
440,67812.50,1.45,3.86
450,73888.85,1.37,3.71
460,74747.84,1.36,3.50
470,70962.34,1.37,3.66
480,69447.42,1.36,3.86
490,69885.17,1.36,3.87
500,68966.65,1.37,3.85
510,73511.09,1.37,3.52
520,76417.49,1.32,3.37
530,76679.98,1.31,3.31
540,71558.87,1.31,3.58
550,73138.78,1.29,3.63
560,69422.66,1.37,3.71
570,71169.16,1.36,3.70
580,75721.33,1.32,3.28
590,75422.67,1.33,3.21
600,73661.18,1.32,3.43

===== Time-Series Benchmark Complete =====
