instance,events_per_sec_avg,events_per_sec_std,latency_avg_avg,latency_avg_std,latency_95th_avg,latency_95th_std
c5.xlarge,1219.81,9.15,2.5690,0.0184,2.6290,0.0181
c5a.xlarge,1124.52,1.45,2.7240,0.0038,2.7840,0.0278
c5d.xlarge,1138.29,6.91,2.7530,0.0168,2.8180,0.0568
c5n.xlarge,1142.59,16.81,2.7410,0.0386,2.7980,0.0773
c6g.xlarge,3414.95,5.47,0.9485,0.0014,0.9415,0.0014
c6gd.xlarge,3421.29,44.84,0.9463,0.0109,0.9413,0.0014
c6gn.xlarge,3437.42,30.60,0.9425,0.0068,0.9410,0.0014
c6i.xlarge,2082.50,4.83,1.4690,0.0038,1.4945,0.0086
c6id.xlarge,2083.05,1.90,1.4690,0.0014,1.4885,0.0063
c6in.xlarge,2084.74,6.27,1.4660,0.0049,1.4990,0.0034
c7g.xlarge,3657.59,20.05,0.8855,0.0045,0.8810,0.0042
c7gd.xlarge,3665.16,17.27,0.8840,0.0042,0.8820,0.0045
c7i-flex.xlarge,2150.77,131.74,1.4285,0.0889,1.4825,0.1194
c7i.xlarge,2093.57,158.47,1.4685,0.1128,1.4995,0.1164
c8g.xlarge,4022.73,8.84,0.8055,0.0011,0.8060,0.0022
c8i-flex.xlarge,2270.87,81.87,1.3505,0.0503,1.4725,0.1728
c8i.xlarge,2349.75,1.86,1.3045,0.0011,1.3200,0.0000
m5.xlarge,1039.51,15.53,3.0140,0.0450,3.1280,0.1063
m5a.xlarge,869.48,2.51,3.5210,0.0098,3.6665,0.0897
m5ad.xlarge,867.79,1.25,3.5280,0.0060,4.0370,0.5951
m5d.xlarge,1050.14,24.51,2.9840,0.0697,3.1535,0.1797
m5zn.xlarge,1532.30,21.50,2.0460,0.0282,2.0580,0.0327
m6g.xlarge,3395.22,18.75,0.9525,0.0050,0.9425,0.0000
m6gd.xlarge,3420.08,23.97,0.9470,0.0054,0.9420,0.0011
m6i.xlarge,2082.66,2.99,1.4685,0.0022,1.4945,0.0067
m6id.xlarge,2082.42,2.66,1.4700,0.0018,1.4885,0.0082
m6idn.xlarge,2080.77,7.79,1.4708,0.0058,1.4967,0.0290
m6in.xlarge,2084.03,3.45,1.4670,0.0027,1.4990,0.0063
m7g.xlarge,3642.27,21.79,0.8881,0.0052,0.8813,0.0048
m7gd.xlarge,3649.02,20.16,0.8875,0.0050,0.8780,0.0045
m7i-flex.xlarge,2251.83,51.66,1.3605,0.0305,1.5105,0.0583
m7i.xlarge,2152.24,81.71,1.4250,0.0539,1.4705,0.0745
m8g.xlarge,3995.32,15.27,0.8095,0.0027,0.8070,0.0011
m8i.xlarge,2342.81,8.87,1.3065,0.0049,1.3280,0.0091
r5.xlarge,1017.99,0.00,3.0975,0.0000,3.7025,0.0000
r5a.xlarge,871.37,0.00,3.5150,0.0000,3.6125,0.0000
r5ad.xlarge,867.50,1.90,3.5300,0.0071,3.7225,0.1025
r5b.xlarge,1064.99,27.14,2.9455,0.0725,3.1525,0.2376
r5d.xlarge,1068.27,21.20,2.9370,0.0570,2.9800,0.0754
r5dn.xlarge,1076.38,10.00,2.9095,0.0254,2.9695,0.0414
r5n.xlarge,1049.49,17.22,2.9850,0.0491,3.0630,0.0534
r6g.xlarge,3397.72,10.31,0.9515,0.0034,0.9425,0.0000
r6gd.xlarge,3402.66,36.57,0.9510,0.0088,0.9420,0.0011
r6i.xlarge,2080.33,1.79,1.4715,0.0014,1.4975,0.0053
r6id.xlarge,2080.78,1.62,1.4700,0.0020,1.4975,0.0000
r7g.xlarge,3644.50,14.85,0.8888,0.0032,0.8788,0.0048
r7gd.xlarge,3671.39,0.00,0.8825,0.0000,0.8800,0.0000
r7i.xlarge,2170.55,53.79,1.4125,0.0337,1.4790,0.0300
r8g.xlarge,3987.60,10.96,0.8112,0.0032,0.8075,0.0020
r8i-flex.xlarge,2348.78,0.53,1.3050,0.0000,1.3200,0.0000
r8i.xlarge,2346.37,3.22,1.3050,0.0000,1.3200,0.0000
