instance,set_rps_avg,get_rps_avg,lpush_rps_avg,pipeline_set_avg
c5.xlarge,925925.88,1030927.81,0,925925.88
c5a.xlarge,697693.31,493224.91,0,697693.31
c5d.xlarge,779753.23,0,0,779753.23
c5n.xlarge,813027.41,0,0,813027.41
c6g.xlarge,645285.60,234741.77,0,645285.60
c6id.xlarge,816182.06,0,0,816182.06
c6in.xlarge,881455.30,287356.34,0,881455.30
c7g.xlarge,788183.46,0,0,788183.46
c7gd.xlarge,769548.28,0,0,769548.28
c7i-flex.xlarge,957485.81,0,0,957485.81
c7i.xlarge,1000000.00,0,0,1000000.00
c8g.xlarge,961538.44,0,0,961538.44
c8i.xlarge,1136363.62,1250000.00,0,1136363.62
m5.xlarge,749158.22,0,0,749158.22
m5d.xlarge,735727.34,0,0,735727.34
m6g.xlarge,675675.69,719424.44,0,675675.69
m6gd.xlarge,653706.50,662513.15,0,653706.50
m6i.xlarge,840784.77,0,0,840784.77
m6id.xlarge,694510.96,674019.62,0,694510.96
m6idn.xlarge,877193.00,1075268.75,0,877193.00
m6in.xlarge,709219.88,0,0,709219.88
m7g.xlarge,758664.31,326797.40,0,758664.31
m7gd.xlarge,763358.81,0,0,763358.81
m7i-flex.xlarge,851449.28,520833.34,0,851449.28
r5.xlarge,689187.14,508212.56,0,689187.14
r5b.xlarge,792309.02,239808.14,0,792309.02
r5d.xlarge,788633.09,153374.23,0,788633.09
r5dn.xlarge,826446.31,0,0,826446.31
r5n.xlarge,806451.62,1640336.12,0,806451.62
r6g.xlarge,634156.12,746310.19,0,634156.12
r6gd.xlarge,653594.81,2719313.93,0,653594.81
r6i.xlarge,806658.12,1073232.31,0,806658.12
r6id.xlarge,736035.06,0,0,736035.06
r7g.xlarge,745431.12,271002.70,0,745431.12
r7i.xlarge,952681.97,442477.87,0,952681.97
r8i-flex.xlarge,833333.38,0,0,833333.38
