===== Redis Benchmark: c7i.2xlarge =====
Timestamp: 2026-01-15T07:00:04+00:00

=== memtier_benchmark ===
GET       5.247       99.999
GET       5.439       99.999
GET       5.759       99.999
GET       6.719       99.999
GET      79.871       99.999
GET      79.871       99.999
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      80.383      100.000
GET      80.383      100.000
---
WAIT      0.000      100.000

=== SET Pipeline ===
SET      10.367      100.000
SET      10.367      100.000
SET      10.367      100.000
SET      10.367      100.000
SET      10.367      100.000
SET      10.367      100.000
SET      10.367      100.000
SET      10.495      100.000
SET      10.495      100.000
---

===== Complete =====
