===== Spring Boot Time-Series Benchmark =====
Instance Type: c8g.xlarge
Run: 2
Spring Boot Host: springboot-server-c8g-xlarge
Timestamp: 2026-01-22T03:54:26+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,64311.16,1.50,3.68
20,61535.10,1.51,4.05
30,60151.09,1.53,4.03
40,64112.39,1.50,3.91
50,67644.16,1.49,3.30
60,68048.68,1.48,3.27
70,67047.35,1.49,3.48
80,61431.55,1.50,3.80
90,61102.92,1.51,3.87
100,62639.54,1.52,3.96
110,66464.45,1.49,3.60
120,68119.26,1.49,3.38
130,68176.95,1.48,3.33
140,64661.17,1.49,3.59
150,61478.95,1.51,3.86
160,61928.83,1.51,3.91
170,63552.38,1.51,3.76
180,68099.74,1.48,3.34
190,67440.52,1.51,3.71
200,67226.51,1.50,3.64
210,61063.86,1.51,3.96
220,61161.40,1.52,4.17
230,62899.28,1.51,3.95
240,65403.32,1.50,3.98
250,66614.66,1.51,3.65
260,66625.90,1.52,3.76
270,64126.97,1.50,3.67
280,60926.47,1.53,3.91
290,62209.76,1.52,3.92
300,63715.95,1.50,3.88
310,65639.87,1.51,4.15
320,68285.46,1.49,3.62
330,68494.72,1.47,3.50
340,62246.35,1.50,3.86
350,62109.81,1.53,4.14
360,61836.97,1.54,4.10
370,63140.98,1.52,3.91
380,66507.16,1.51,3.61
390,67579.90,1.49,3.65
400,64804.09,1.50,3.61
410,62002.15,1.52,3.91
420,62174.56,1.52,3.90
430,63587.75,1.50,3.85
440,65872.05,1.50,3.59
450,67666.85,1.48,3.08
460,67210.96,1.49,3.34
470,62744.85,1.51,3.72
480,63025.33,1.50,3.72
490,63395.20,1.49,3.70
500,64272.71,1.50,3.74
510,66946.91,1.50,3.53
520,67741.39,1.48,3.26
530,64653.77,1.51,3.65
540,62921.06,1.50,3.72
550,63463.98,1.50,3.94
560,62382.27,1.53,4.19
570,65402.19,1.49,3.92
580,67328.40,1.49,3.38
590,67905.83,1.48,3.30
600,62378.54,1.52,3.82

===== Time-Series Benchmark Complete =====
