===== Spring Boot Time-Series Benchmark =====
Instance Type: c8g.xlarge
Run: 4
Spring Boot Host: springboot-server-c8g-xlarge
Timestamp: 2026-01-22T04:16:30+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,64117.58,1.51,3.56
20,60463.96,1.53,3.88
30,60387.79,1.53,3.96
40,63684.14,1.51,3.96
50,67446.58,1.49,3.20
60,67843.82,1.49,3.24
70,66975.43,1.49,3.47
80,61336.77,1.51,3.90
90,60784.68,1.52,3.90
100,60893.30,1.53,4.11
110,66157.67,1.52,4.08
120,67244.08,1.51,3.55
130,67452.08,1.49,3.42
140,63607.01,1.52,3.61
150,60331.25,1.53,4.00
160,61351.46,1.52,3.93
170,63719.02,1.52,4.13
180,66219.66,1.51,3.68
190,67125.37,1.50,3.63
200,66373.50,1.50,3.45
210,59953.52,1.54,4.06
220,61802.97,1.52,4.11
230,62501.11,1.52,4.09
240,64423.18,1.52,3.94
250,67130.66,1.51,3.47
260,66886.85,1.51,3.67
270,64126.17,1.51,3.52
280,60889.71,1.52,4.06
290,61761.57,1.53,3.93
300,63009.02,1.50,3.62
310,66452.57,1.50,3.45
320,67279.77,1.49,3.08
330,67263.88,1.49,3.42
340,60648.67,1.53,4.08
350,62133.49,1.52,3.82
360,62719.03,1.51,3.59
370,64147.48,1.53,4.13
380,66986.70,1.50,3.71
390,67784.19,1.49,3.43
400,63811.20,1.50,3.61
410,62904.75,1.51,3.78
420,62647.23,1.51,3.80
430,62496.20,1.52,3.99
440,65863.32,1.51,4.33
450,67744.71,1.49,3.28
460,66930.88,1.50,3.36
470,62295.90,1.52,4.13
480,61659.62,1.53,3.91
490,62374.49,1.52,3.98
500,62732.50,1.53,4.14
510,67076.63,1.49,3.37
520,67115.73,1.50,3.50
530,65324.97,1.50,3.47
540,61758.70,1.53,4.08
550,62007.52,1.58,4.47
560,62457.75,1.52,3.99
570,64111.59,1.51,3.99
580,66529.46,1.51,3.63
590,67495.84,1.50,3.74
600,63273.75,1.50,3.73

===== Time-Series Benchmark Complete =====
