===== Spring Boot Time-Series Benchmark =====
Instance Type: c8g.xlarge
Run: 5
Spring Boot Host: springboot-server-c8g-xlarge
Timestamp: 2026-01-22T04:27:32+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,64175.80,1.51,3.67
20,60096.08,1.54,4.16
30,60028.53,1.53,3.97
40,63587.54,1.53,4.22
50,67816.34,1.49,3.52
60,67373.19,1.50,3.41
70,66411.61,1.51,3.65
80,60574.92,1.53,3.87
90,60125.67,1.53,3.98
100,61217.58,1.54,4.17
110,65999.49,1.52,3.77
120,66650.50,1.51,3.41
130,66710.84,1.52,3.88
140,63458.38,1.52,3.69
150,59736.99,1.54,3.96
160,61137.78,1.53,3.92
170,63998.22,1.51,3.81
180,66642.08,1.51,3.88
190,67183.17,1.50,3.50
200,67129.68,1.49,3.27
210,60662.31,1.53,3.91
220,61452.03,1.52,4.07
230,62421.00,1.52,3.94
240,65054.99,1.52,4.28
250,67057.14,1.50,3.42
260,67033.99,1.51,3.72
270,64069.36,1.51,3.68
280,60639.10,1.54,4.18
290,62380.95,1.52,4.00
300,63082.22,1.51,3.97
310,66009.69,1.51,3.65
320,67113.12,1.50,3.35
330,66513.93,1.50,3.34
340,61931.59,1.50,3.83
350,62502.70,1.51,3.90
360,62210.80,1.53,4.15
370,63685.80,1.52,4.04
380,67067.60,1.49,3.33
390,67283.50,1.50,3.65
400,63605.18,1.52,3.74
410,62407.63,1.52,3.89
420,62059.94,1.52,3.92
430,62128.81,1.54,3.89
440,66244.29,1.50,3.75
450,67304.27,1.50,3.75
460,66562.82,1.50,3.64
470,62305.20,1.52,3.88
480,61905.69,1.52,3.85
490,61899.74,1.54,4.15
500,63612.89,1.52,3.94
510,65661.35,1.52,4.03
520,66873.05,1.51,3.61
530,64378.12,1.52,3.67
540,62120.91,1.53,3.91
550,62078.65,1.53,3.97
560,62317.50,1.53,3.92
570,63837.03,1.53,3.99
580,66519.72,1.51,3.38
590,66548.42,1.51,3.22
600,62337.37,1.51,3.68

===== Time-Series Benchmark Complete =====
