[15:32:21] Collected: 3, Deleted: 3 jobs, Total logs: 193/255
[15:33:30] Collected: 5, Deleted: 5 jobs, Total logs: 198/255
[15:33:30] Collected: 5, Deleted: 5 jobs, Total logs: 198/255
[15:34:32] Collected: 1, Deleted: 1 jobs, Total logs: 199/255
[15:34:33] Collected: 1, Deleted: 1 jobs, Total logs: 199/255
[15:35:43] Collected: 6, Deleted: 6 jobs, Total logs: 205/255
[15:35:43] Collected: 6, Deleted: 6 jobs, Total logs: 205/255
[15:36:50] Collected: 4, Deleted: 4 jobs, Total logs: 209/255
[15:36:51] Collected: 4, Deleted: 4 jobs, Total logs: 209/255
[15:37:53] Collected: 1, Deleted: 1 jobs, Total logs: 210/255
[15:37:53] Collected: 1, Deleted: 1 jobs, Total logs: 210/255
[15:39:04] Collected: 4, Deleted: 5 jobs, Total logs: 214/255
[15:39:04] Collected: 4, Deleted: 5 jobs, Total logs: 214/255
[15:40:14] Collected: 4, Deleted: 4 jobs, Total logs: 218/255
[15:40:14] Collected: 4, Deleted: 4 jobs, Total logs: 218/255
[15:41:16] Collected: 1, Deleted: 1 jobs, Total logs: 219/255
[15:41:16] Collected: 1, Deleted: 1 jobs, Total logs: 219/255
[15:42:32] Collected: 8, Deleted: 8 jobs, Total logs: 227/255
[15:42:33] Collected: 8, Deleted: 8 jobs, Total logs: 227/255
[15:43:35] Collected: 1, Deleted: 1 jobs, Total logs: 228/255
[15:43:35] Collected: 1, Deleted: 1 jobs, Total logs: 228/255
[15:44:40] Collected: 2, Deleted: 2 jobs, Total logs: 230/255
[15:44:40] Collected: 2, Deleted: 2 jobs, Total logs: 230/255
[15:45:52] Collected: 6, Deleted: 6 jobs, Total logs: 236/255
[15:45:53] Collected: 6, Deleted: 6 jobs, Total logs: 236/255
[15:46:57] Collected: 1, Deleted: 2 jobs, Total logs: 237/255
[15:46:57] Collected: 1, Deleted: 2 jobs, Total logs: 237/255
[15:48:01] Collected: 2, Deleted: 2 jobs, Total logs: 239/255
[15:48:01] Collected: 2, Deleted: 2 jobs, Total logs: 239/255
[15:49:16] Collected: 7, Deleted: 7 jobs, Total logs: 246/255
[15:49:16] Collected: 7, Deleted: 7 jobs, Total logs: 246/255
[15:50:18] Collected: 1, Deleted: 1 jobs, Total logs: 247/255
[15:50:18] Collected: 1, Deleted: 1 jobs, Total logs: 247/255
[15:51:24] Collected: 3, Deleted: 3 jobs, Total logs: 250/255
[15:51:24] Collected: 3, Deleted: 3 jobs, Total logs: 250/255
[15:52:25] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:52:25] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:53:26] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:53:26] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:54:27] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:54:27] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:55:28] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:55:28] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:56:29] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:56:29] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:57:29] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:57:30] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:58:30] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:58:30] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:59:31] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[15:59:31] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:00:32] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:00:32] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:01:33] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:01:33] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:02:34] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:02:35] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:03:35] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:03:36] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:04:36] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:04:37] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:05:37] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:05:37] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[16:06:38] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
