===== Spring Boot Time-Series Benchmark =====
Instance Type: c8i-flex.xlarge
Run: 3
Spring Boot Host: springboot-server-c8i-flex-xlarge
Timestamp: 2026-01-21T14:40:11+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,92644.69,1.08,2.53
20,78034.93,1.19,3.16
30,71414.67,1.26,3.45
40,81710.28,1.17,3.33
50,91774.03,1.08,2.57
60,92267.11,1.08,2.52
70,91630.15,1.10,2.72
80,87345.29,1.11,2.78
90,71493.03,1.25,3.55
100,76968.24,1.21,3.57
110,86801.39,1.12,2.93
120,91995.88,1.08,2.58
130,91214.84,1.08,2.63
140,92627.01,1.08,2.52
150,75938.64,1.21,3.22
160,74847.28,1.23,3.47
170,79163.58,1.18,3.08
180,90348.53,1.10,2.55
190,91421.42,1.08,2.46
200,90558.19,1.09,2.66
210,86398.09,1.12,2.89
220,73876.77,1.23,3.52
230,78447.45,1.18,3.26
240,86254.03,1.11,2.96
250,91566.42,1.08,2.56
260,92283.97,1.08,2.51
270,90291.02,1.09,2.70
280,77728.25,1.19,3.25
290,77439.46,1.18,3.28
300,79488.41,1.17,3.31
310,87982.23,1.11,2.91
320,90565.07,1.09,2.66
330,90211.85,1.08,2.59
340,86293.45,1.11,2.77
350,77408.04,1.19,3.36
360,78316.36,1.19,3.36
370,78647.94,1.20,3.40
380,88771.58,1.11,2.64
390,89945.49,1.10,2.49
400,88630.33,1.12,2.67
410,78911.13,1.21,3.18
420,74570.30,1.25,3.65
430,76853.89,1.23,3.29
440,84537.52,1.15,3.05
450,90780.13,1.10,2.64
460,89826.53,1.10,2.56
470,87138.90,1.13,2.83
480,77325.09,1.20,3.16
490,77534.23,1.20,3.22
500,78495.29,1.19,3.18
510,90963.22,1.09,2.62
520,91749.79,1.08,2.41
530,91977.60,1.08,2.53
540,82374.12,1.16,3.07
550,77745.78,1.20,3.37
560,78581.83,1.19,3.48
570,83778.94,1.15,3.22
580,90460.20,1.10,2.64
590,91239.09,1.09,2.33
600,89480.45,1.10,2.65

===== Time-Series Benchmark Complete =====
