===== Spring Boot Time-Series Benchmark =====
Instance Type: c8i-flex.xlarge
Run: 1
Spring Boot Host: springboot-server-c8i-flex-xlarge
Timestamp: 2026-01-21T14:18:22+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,88901.22,1.13,2.68
20,70246.02,1.28,3.53
30,70069.17,1.28,3.53
40,79889.92,1.19,3.43
50,91224.26,1.11,2.55
60,90935.08,1.10,2.50
70,90798.89,1.10,2.50
80,80702.37,1.17,3.06
90,71178.20,1.26,3.43
100,75706.14,1.22,3.40
110,85644.37,1.14,3.32
120,92158.34,1.09,2.48
130,92678.96,1.08,2.45
140,92019.10,1.08,2.47
150,72765.20,1.23,3.34
160,75441.92,1.22,3.46
170,76408.80,1.21,3.40
180,89936.05,1.10,2.57
190,90786.17,1.10,2.54
200,91064.11,1.10,2.58
210,81655.49,1.16,2.97
220,74758.26,1.22,3.47
230,77117.36,1.19,3.20
240,84988.92,1.13,2.99
250,91213.01,1.09,2.58
260,91355.34,1.09,2.51
270,91008.37,1.09,2.53
280,74457.87,1.22,3.42
290,77614.61,1.19,3.24
300,77421.93,1.19,3.37
310,89147.30,1.10,2.84
320,91940.34,1.08,2.51
330,93079.91,1.07,2.40
340,83343.28,1.14,3.00
350,77586.53,1.19,3.33
360,77031.12,1.20,3.42
370,81705.37,1.16,3.36
380,92168.71,1.07,2.49
390,92568.21,1.07,2.39
400,93104.66,1.07,2.31
410,78664.46,1.18,3.23
420,78353.70,1.18,3.34
430,76018.50,1.22,3.49
440,84527.79,1.13,3.15
450,92115.44,1.07,2.48
460,92782.44,1.07,2.24
470,87596.23,1.11,2.80
480,76884.21,1.20,3.37
490,78149.53,1.19,3.22
500,79084.37,1.18,3.13
510,91619.52,1.09,2.60
520,92240.78,1.08,2.44
530,92763.33,1.08,2.34
540,80873.77,1.16,3.17
550,77571.18,1.20,3.41
560,78327.65,1.19,3.31
570,84330.70,1.14,3.14
580,91314.07,1.09,2.78
590,91630.26,1.08,2.55
600,89662.72,1.10,2.74

===== Time-Series Benchmark Complete =====
