===== Spring Boot Time-Series Benchmark =====
Instance Type: c8i-flex.xlarge
Run: 2
Spring Boot Host: springboot-server-c8i-flex-xlarge
Timestamp: 2026-01-21T14:29:20+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,92240.47,1.08,2.28
20,74124.00,1.22,3.27
30,73534.69,1.22,3.40
40,81813.46,1.15,3.30
50,92911.53,1.07,2.43
60,92544.22,1.07,2.45
70,92386.27,1.07,2.53
80,84631.06,1.13,2.98
90,72840.34,1.23,3.48
100,75192.87,1.21,3.38
110,89548.56,1.09,2.73
120,91742.47,1.08,2.58
130,91903.46,1.07,2.49
140,92602.25,1.07,2.42
150,74821.94,1.20,3.23
160,75296.77,1.20,3.43
170,83140.13,1.14,3.15
180,89632.63,1.10,2.98
190,93072.55,1.07,2.54
200,93347.83,1.07,2.47
210,83624.59,1.14,2.98
220,74956.11,1.21,3.40
230,78796.00,1.18,3.35
240,83451.72,1.15,3.27
250,91896.44,1.08,2.54
260,92815.63,1.07,2.39
270,91526.97,1.10,2.52
280,75468.06,1.22,3.29
290,76485.89,1.21,3.39
300,79020.42,1.18,3.15
310,87097.69,1.12,2.76
320,90613.78,1.10,2.60
330,90844.52,1.09,2.54
340,84728.44,1.14,2.88
350,77417.83,1.19,3.15
360,77784.57,1.19,3.14
370,83267.41,1.15,3.02
380,90855.22,1.09,2.68
390,92088.66,1.08,2.53
400,92004.92,1.07,2.44
410,78496.71,1.17,3.12
420,78225.69,1.18,3.24
430,78630.43,1.18,3.14
440,88216.82,1.11,2.94
450,90633.34,1.08,2.58
460,92189.45,1.07,2.50
470,87239.42,1.11,2.77
480,78992.77,1.17,3.32
490,78925.83,1.18,3.34
500,81455.43,1.16,3.22
510,90054.88,1.09,2.73
520,92640.89,1.07,2.50
530,92010.54,1.08,2.62
540,82495.16,1.14,3.02
550,78094.85,1.19,3.37
560,79132.50,1.18,3.28
570,82885.16,1.16,3.34
580,90492.99,1.09,2.56
590,91303.16,1.08,2.51
600,89921.00,1.09,2.64

===== Time-Series Benchmark Complete =====
