===== Spring Boot Time-Series Benchmark =====
Instance Type: r8i-flex.xlarge
Run: 1
Spring Boot Host: springboot-server-r8i-flex-xlarge
Timestamp: 2026-01-21T14:18:17+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,90087.16,1.08,2.50
20,73390.23,1.22,3.40
30,73586.69,1.22,3.37
40,82788.45,1.14,3.14
50,90458.68,1.10,2.47
60,88946.65,1.13,2.57
70,90355.29,1.11,2.31
80,80851.56,1.18,3.05
90,70689.81,1.28,3.62
100,74739.50,1.23,3.53
110,86134.25,1.14,3.19
120,91667.49,1.08,2.32
130,91229.10,1.09,2.31
140,91781.54,1.08,2.25
150,72765.93,1.23,3.49
160,75234.02,1.21,3.48
170,80321.71,1.17,3.26
180,91511.57,1.07,2.32
190,91455.55,1.07,2.25
200,92063.01,1.07,2.36
210,81988.40,1.14,2.97
220,76372.95,1.20,3.50
230,79318.52,1.17,3.28
240,84390.18,1.12,3.02
250,92604.29,1.06,2.34
260,93315.10,1.06,2.27
270,91279.21,1.08,2.38
280,74953.58,1.21,3.41
290,78300.44,1.18,3.24
300,79360.32,1.16,3.10
310,90477.43,1.08,2.52
320,92664.90,1.06,2.38
330,92731.29,1.06,2.03
340,82740.26,1.14,2.98
350,77950.63,1.17,3.29
360,78454.41,1.18,3.31
370,84331.76,1.13,3.07
380,91448.47,1.07,2.49
390,91775.24,1.07,2.38
400,90990.94,1.08,2.50
410,77179.95,1.19,3.38
420,76907.10,1.21,3.45
430,74551.47,1.25,3.56
440,80835.40,1.21,3.40
450,88313.93,1.12,2.48
460,88632.37,1.12,2.45
470,83149.46,1.16,2.90
480,75010.31,1.23,3.49
490,76834.44,1.21,3.44
500,78096.20,1.20,3.50
510,90567.00,1.10,2.45
520,91104.04,1.09,2.28
530,90763.11,1.09,2.40
540,80489.49,1.17,3.21
550,78041.58,1.19,3.25
560,78261.91,1.18,3.27
570,83986.17,1.14,2.95
580,93069.74,1.06,2.19
590,92776.89,1.07,2.12
600,88947.44,1.09,2.62

===== Time-Series Benchmark Complete =====
