===== Spring Boot Time-Series Benchmark =====
Instance Type: r8i-flex.xlarge
Run: 5
Spring Boot Host: springboot-server-r8i-flex-xlarge
Timestamp: 2026-01-21T15:02:25+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,89702.93,1.10,2.50
20,72785.63,1.24,3.51
30,72953.18,1.23,3.58
40,81653.65,1.16,3.20
50,92052.92,1.07,2.22
60,91560.74,1.09,2.18
70,92155.98,1.07,2.06
80,81931.25,1.15,2.93
90,72424.76,1.25,3.54
100,75457.35,1.22,3.66
110,89085.76,1.10,2.91
120,92112.21,1.07,2.38
130,91783.08,1.07,2.28
140,91840.21,1.07,2.44
150,73472.89,1.23,3.49
160,75707.10,1.20,3.54
170,80834.82,1.17,3.34
180,91478.49,1.07,2.44
190,91813.08,1.07,2.40
200,92783.50,1.06,2.30
210,82010.61,1.14,2.94
220,75433.35,1.20,3.38
230,78863.04,1.18,3.37
240,84343.73,1.14,3.16
250,91936.82,1.07,2.28
260,92132.37,1.07,2.41
270,91350.01,1.07,2.51
280,74298.03,1.22,3.57
290,78773.72,1.17,3.24
300,78813.33,1.18,3.20
310,91312.86,1.07,2.46
320,90442.83,1.09,2.31
330,90270.36,1.10,2.55
340,80132.23,1.16,3.06
350,78098.97,1.17,3.18
360,79451.17,1.17,3.28
370,83816.65,1.13,2.99
380,91635.83,1.07,2.46
390,92527.92,1.07,2.23
400,88583.21,1.09,2.64
410,77424.48,1.18,3.28
420,78514.29,1.18,3.32
430,78226.16,1.18,3.31
440,87513.09,1.11,2.90
450,91208.60,1.08,2.44
460,91480.19,1.08,2.27
470,83616.02,1.14,2.96
480,78045.96,1.18,3.32
490,77540.48,1.21,3.69
500,79499.26,1.18,3.40
510,92052.21,1.07,2.27
520,93283.12,1.07,2.08
530,93177.45,1.07,2.22
540,79382.80,1.18,3.27
550,78265.28,1.19,3.48
560,78850.70,1.18,3.21
570,85529.84,1.12,2.95
580,91698.79,1.08,2.44
590,91826.91,1.08,2.36
600,86506.55,1.12,2.86

===== Time-Series Benchmark Complete =====
