===== Spring Boot Time-Series Benchmark =====
Instance Type: r8i-flex.xlarge
Run: 2
Spring Boot Host: springboot-server-r8i-flex-xlarge
Timestamp: 2026-01-21T14:29:23+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,90292.24,1.10,2.24
20,72495.92,1.24,3.43
30,69699.89,1.30,3.79
40,78367.45,1.22,3.56
50,86993.40,1.15,2.70
60,87058.61,1.15,2.60
70,86264.75,1.17,2.71
80,81566.52,1.20,3.13
90,66486.40,1.37,3.99
100,70250.75,1.32,3.88
110,84048.87,1.18,3.54
120,89650.85,1.12,2.52
130,89119.73,1.13,2.66
140,90249.96,1.10,2.54
150,75454.52,1.24,3.25
160,71765.65,1.29,3.70
170,77029.37,1.23,3.50
180,89179.91,1.11,2.62
190,90925.99,1.09,2.44
200,90565.36,1.10,2.53
210,86169.02,1.13,2.84
220,73257.66,1.25,3.52
230,75285.56,1.23,3.67
240,82588.14,1.16,3.31
250,89730.47,1.10,2.49
260,90300.95,1.09,2.49
270,90781.18,1.09,2.46
280,78126.66,1.19,3.23
290,76773.45,1.20,3.29
300,78835.99,1.17,3.13
310,89527.15,1.09,2.62
320,91499.84,1.08,2.47
330,90613.18,1.09,2.51
340,85484.77,1.12,2.81
350,76689.93,1.20,3.31
360,77676.55,1.19,3.36
370,83174.45,1.15,3.19
380,88894.71,1.10,2.71
390,90414.25,1.09,2.47
400,90301.78,1.08,2.47
410,79643.31,1.17,3.15
420,77113.20,1.20,3.28
430,76325.38,1.22,3.48
440,84174.00,1.16,3.29
450,88474.20,1.11,2.51
460,89235.00,1.10,2.55
470,85189.35,1.13,2.73
480,77596.28,1.19,3.36
490,77275.96,1.21,3.64
500,78583.40,1.19,3.55
510,89694.05,1.09,2.59
520,92188.96,1.08,2.39
530,91027.37,1.08,2.51
540,84340.18,1.13,2.89
550,78581.50,1.18,3.36
560,78680.88,1.17,3.25
570,84633.53,1.13,2.94
580,91073.28,1.08,2.43
590,91759.05,1.08,2.42
600,89028.09,1.09,2.54

===== Time-Series Benchmark Complete =====
