===== Spring Boot Time-Series Benchmark =====
Instance Type: c8i.xlarge
Run: 1
Spring Boot Host: springboot-server-c8i-xlarge
Timestamp: 2026-01-22T03:43:12+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,87320.13,1.13,2.28
20,72629.67,1.25,3.26
30,70366.04,1.27,3.45
40,78735.30,1.20,3.15
50,86107.68,1.15,2.46
60,85660.16,1.15,2.41
70,86147.09,1.14,2.42
80,78299.09,1.21,2.89
90,70081.50,1.29,3.55
100,73756.71,1.25,3.34
110,81742.51,1.18,3.01
120,85878.95,1.15,2.42
130,85415.03,1.15,2.40
140,85976.67,1.15,2.43
150,72366.31,1.26,3.21
160,73066.35,1.25,3.36
170,75860.77,1.23,3.31
180,85123.72,1.15,2.44
190,85858.09,1.15,2.46
200,85935.59,1.15,2.47
210,79361.49,1.20,2.98
220,72710.87,1.26,3.40
230,75351.80,1.23,3.16
240,80470.63,1.18,2.98
250,85981.93,1.14,2.38
260,86634.53,1.14,2.37
270,86474.25,1.14,2.41
280,72692.27,1.25,3.26
290,75391.96,1.23,3.21
300,75460.35,1.24,3.23
310,84255.29,1.16,2.61
320,85743.70,1.15,2.42
330,85549.58,1.15,2.39
340,79398.64,1.19,2.85
350,74157.60,1.25,3.41
360,74231.19,1.25,3.46
370,78228.42,1.21,3.21
380,84491.12,1.16,2.62
390,85308.18,1.15,2.51
400,85833.97,1.15,2.46
410,75974.25,1.23,3.17
420,74694.27,1.24,3.29
430,75919.17,1.22,3.28
440,79771.65,1.20,3.21
450,85818.06,1.14,2.41
460,86236.25,1.14,2.35
470,82025.21,1.18,2.82
480,74776.35,1.24,3.33
490,74686.26,1.24,3.36
500,76450.97,1.22,3.19
510,84571.38,1.15,2.50
520,86587.15,1.14,2.36
530,86583.31,1.14,2.38
540,77298.94,1.21,2.98
550,75525.82,1.23,3.32
560,76623.36,1.22,3.19
570,80215.55,1.19,3.01
580,85622.85,1.14,2.42
590,85959.17,1.14,2.41
600,83406.37,1.16,2.63

===== Time-Series Benchmark Complete =====
