===== Spring Boot Time-Series Benchmark =====
Instance Type: c8i.xlarge
Run: 4
Spring Boot Host: springboot-server-c8i-xlarge
Timestamp: 2026-01-22T04:16:28+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,87515.40,1.13,2.33
20,74873.65,1.23,3.16
30,70829.35,1.27,3.34
40,78310.92,1.21,3.17
50,84889.14,1.15,2.51
60,84817.95,1.15,2.51
70,85860.45,1.15,2.42
80,82606.88,1.17,2.66
90,70135.92,1.29,3.55
100,75925.17,1.22,3.23
110,80953.19,1.19,3.17
120,84710.98,1.15,2.55
130,85369.97,1.15,2.45
140,85938.48,1.15,2.40
150,74429.66,1.24,3.14
160,73182.40,1.25,3.43
170,76490.89,1.22,3.15
180,85208.55,1.15,2.46
190,84909.60,1.15,2.53
200,85306.43,1.15,2.53
210,82678.13,1.17,2.70
220,71794.78,1.26,3.46
230,75497.52,1.23,3.20
240,80364.21,1.19,2.92
250,84260.04,1.16,2.53
260,85922.07,1.14,2.55
270,85792.56,1.14,2.41
280,75941.84,1.22,3.06
290,75137.90,1.23,3.27
300,75939.94,1.23,3.36
310,83324.99,1.17,2.88
320,84795.48,1.15,2.59
330,85929.79,1.14,2.41
340,82484.05,1.17,2.83
350,74006.19,1.25,3.37
360,75082.25,1.24,3.30
370,76943.40,1.22,3.35
380,84985.61,1.15,2.45
390,84608.62,1.15,2.57
400,85485.04,1.15,2.46
410,78765.32,1.20,3.04
420,74997.99,1.24,3.44
430,75256.52,1.23,3.26
440,80621.76,1.19,3.12
450,85498.83,1.15,2.49
460,85333.33,1.14,2.42
470,84816.68,1.15,2.57
480,75340.90,1.23,3.21
490,75900.22,1.22,3.17
500,76445.15,1.23,3.17
510,85618.25,1.15,2.44
520,84288.71,1.15,2.57
530,85852.67,1.14,2.42
540,79420.19,1.19,2.86
550,75699.09,1.23,3.24
560,76120.28,1.22,3.22
570,79734.34,1.20,3.07
580,84690.90,1.16,2.63
590,84063.72,1.16,2.77
600,85423.86,1.15,2.50

===== Time-Series Benchmark Complete =====
