===== Spring Boot Time-Series Benchmark =====
Instance Type: c8i.xlarge
Run: 3
Spring Boot Host: springboot-server-c8i-xlarge
Timestamp: 2026-01-22T04:05:25+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,87411.43,1.13,2.28
20,74671.41,1.23,3.18
30,70875.02,1.26,3.42
40,78153.48,1.21,3.23
50,85906.30,1.14,2.43
60,85089.90,1.15,2.49
70,85810.51,1.14,2.46
80,82090.60,1.17,2.84
90,71097.84,1.27,3.30
100,72921.75,1.26,3.47
110,83631.31,1.16,2.69
120,85730.93,1.14,2.42
130,85187.52,1.15,2.54
140,86000.11,1.14,2.38
150,73890.16,1.25,3.26
160,72419.75,1.27,3.46
170,77982.51,1.21,3.15
180,83941.03,1.16,2.69
190,84832.54,1.15,2.55
200,85024.57,1.15,2.52
210,80447.94,1.19,2.91
220,72027.33,1.26,3.39
230,74552.09,1.24,3.29
240,80335.07,1.19,3.11
250,85432.62,1.15,2.47
260,84680.37,1.15,2.52
270,84740.48,1.15,2.47
280,74440.21,1.25,3.25
290,74523.86,1.25,3.43
300,76192.18,1.23,3.33
310,84103.66,1.16,2.63
320,85784.71,1.15,2.42
330,85518.77,1.15,2.49
340,81611.73,1.17,2.82
350,73792.72,1.25,3.36
360,75121.20,1.23,3.24
370,79529.15,1.19,3.00
380,86278.99,1.14,2.41
390,84475.44,1.15,2.54
400,85938.12,1.14,2.40
410,75594.21,1.22,3.10
420,75201.52,1.23,3.19
430,74834.42,1.25,3.17
440,82898.50,1.17,2.72
450,84967.76,1.15,2.53
460,85024.01,1.15,2.51
470,81622.42,1.17,2.77
480,75093.26,1.23,3.23
490,75072.00,1.23,3.21
500,78580.47,1.20,3.14
510,83750.11,1.16,2.83
520,86301.82,1.14,2.43
530,84992.40,1.15,2.52
540,78390.75,1.20,2.96
550,75020.25,1.24,3.29
560,75338.80,1.24,3.39
570,79156.42,1.20,3.23
580,85012.71,1.15,2.49
590,84962.04,1.15,2.49
600,85067.23,1.15,2.53

===== Time-Series Benchmark Complete =====
