===== Spring Boot Time-Series Benchmark =====
Instance Type: c8i.xlarge
Run: 5
Spring Boot Host: springboot-server-c8i-xlarge
Timestamp: 2026-01-22T04:27:31+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,87399.59,1.13,2.29
20,75363.61,1.22,3.03
30,70630.83,1.27,3.45
40,77189.69,1.22,3.25
50,85267.95,1.15,2.45
60,85376.22,1.15,2.53
70,86134.27,1.14,2.40
80,83804.98,1.16,2.64
90,70121.03,1.28,3.55
100,72239.25,1.26,3.50
110,83742.97,1.16,2.66
120,84683.15,1.15,2.54
130,84918.34,1.15,2.56
140,85531.15,1.15,2.43
150,75992.74,1.22,3.08
160,72219.60,1.26,3.36
170,78206.76,1.21,3.20
180,83659.20,1.16,2.71
190,84018.77,1.16,2.61
200,85758.99,1.15,2.45
210,82731.60,1.17,2.71
220,72339.47,1.26,3.46
230,74893.94,1.24,3.33
240,79580.80,1.20,3.25
250,84837.25,1.16,2.53
260,84838.00,1.15,2.47
270,85540.04,1.14,2.41
280,76859.45,1.21,3.06
290,75066.18,1.23,3.30
300,74857.86,1.23,3.27
310,83674.50,1.16,2.58
320,84314.84,1.16,2.61
330,85332.22,1.15,2.45
340,82951.85,1.17,2.65
350,74724.93,1.24,3.17
360,74567.63,1.24,3.31
370,78303.86,1.21,3.06
380,85123.96,1.15,2.45
390,84788.46,1.15,2.53
400,85553.79,1.14,2.41
410,77732.53,1.21,2.97
420,75076.92,1.23,3.21
430,74555.06,1.24,3.27
440,82101.92,1.18,2.88
450,85043.71,1.15,2.44
460,84785.67,1.16,2.57
470,83715.35,1.16,2.61
480,75055.81,1.23,3.18
490,75330.58,1.23,3.23
500,77897.53,1.21,3.21
510,84029.25,1.16,2.64
520,83884.88,1.16,2.59
530,85036.15,1.15,2.53
540,80414.43,1.19,2.86
550,74117.69,1.25,3.39
560,75269.56,1.23,3.28
570,78832.71,1.20,3.12
580,85397.37,1.15,2.45
590,84754.53,1.15,2.54
600,85864.48,1.14,2.44

===== Time-Series Benchmark Complete =====
