===== Spring Boot Time-Series Benchmark =====
Instance Type: c7i-flex.xlarge
Run: 4
Spring Boot Host: springboot-server-c7i-flex-xlarge
Timestamp: 2026-01-21T14:51:02+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,100084.11,0.99,2.34
20,80245.02,1.14,3.17
30,74420.50,1.19,3.44
40,84562.81,1.12,3.35
50,100158.80,0.98,2.41
60,98509.44,1.00,2.41
70,98076.26,1.00,2.43
80,92466.06,1.04,2.69
90,74739.71,1.19,3.59
100,81745.04,1.14,3.42
110,92123.11,1.04,2.95
120,99995.49,0.99,2.42
130,97731.04,1.01,2.41
140,96535.74,1.02,2.44
150,80807.84,1.13,3.20
160,79214.41,1.15,3.46
170,83336.83,1.12,3.18
180,98026.04,1.00,2.46
190,97858.82,1.00,2.37
200,98070.35,1.00,2.36
210,90895.59,1.05,2.82
220,77008.30,1.18,3.57
230,83470.35,1.11,3.05
240,87881.63,1.09,3.00
250,97283.30,1.01,2.44
260,98454.44,1.00,2.50
270,98049.39,1.00,2.41
280,81058.60,1.14,3.21
290,81027.53,1.14,3.36
300,81567.63,1.14,3.33
310,92374.01,1.05,2.80
320,96554.47,1.02,2.51
330,100077.08,0.99,2.38
340,93140.59,1.03,2.73
350,81332.52,1.14,3.49
360,81907.49,1.13,3.43
370,85695.97,1.11,3.43
380,98263.22,1.01,2.52
390,98421.66,1.01,2.43
400,98434.43,1.00,2.40
410,85225.90,1.10,3.16
420,79881.45,1.16,3.47
430,82947.10,1.13,3.46
440,90504.40,1.06,2.91
450,96969.07,1.02,2.46
460,98415.94,1.01,2.44
470,94637.13,1.04,2.63
480,81931.53,1.13,3.35
490,81656.14,1.14,3.33
500,83683.64,1.12,3.22
510,95044.99,1.03,2.58
520,97869.37,1.01,2.46
530,99294.89,1.00,2.38
540,86780.57,1.10,3.02
550,79968.73,1.16,3.38
560,80352.10,1.15,3.40
570,88538.37,1.09,3.15
580,94791.79,1.03,2.56
590,98765.92,1.00,2.39
600,97513.76,1.01,2.50

===== Time-Series Benchmark Complete =====
