===== Spring Boot Time-Series Benchmark =====
Instance Type: c7i-flex.xlarge
Run: 1
Spring Boot Host: springboot-server-c7i-flex-xlarge
Timestamp: 2026-01-21T14:18:24+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,88465.74,1.09,2.91
20,79959.16,1.12,3.31
30,81737.23,1.09,3.43
40,91621.35,1.03,2.94
50,98513.31,1.02,2.48
60,98958.02,1.20,9.48
70,100304.56,0.99,2.39
80,89161.29,1.02,3.15
90,85522.51,1.03,3.32
100,88089.67,1.06,3.38
110,96357.95,1.17,6.36
120,99149.87,1.00,2.38
130,101925.59,0.97,2.35
140,93948.51,1.02,2.67
150,84544.51,1.05,3.33
160,87849.05,1.03,3.32
170,95632.05,1.00,2.89
180,102140.68,0.96,2.49
190,101431.99,0.98,2.36
200,102394.84,1.17,10.30
210,89096.09,1.02,3.18
220,86291.27,1.04,3.32
230,87506.11,1.05,3.16
240,93219.22,1.29,14.29
250,95512.16,1.07,2.81
260,101500.98,0.98,2.43
270,97272.73,0.99,2.75
280,79178.91,1.20,4.31
290,73322.59,1.52,9.65
300,88278.02,1.05,3.21
310,87889.80,1.11,2.79
320,86562.23,1.14,2.62
330,89553.53,1.11,2.58
340,86930.69,1.05,3.19
350,87919.30,1.05,3.22
360,86155.98,1.06,3.18
370,94215.18,1.01,2.76
380,95481.09,1.03,2.52
390,107014.08,0.93,2.20
400,99264.51,0.96,2.68
410,85845.50,1.36,15.41
420,87687.01,1.05,3.16
430,88822.78,1.03,3.03
440,103608.68,0.95,2.36
450,104037.45,0.94,2.32
460,105262.36,0.95,2.22
470,92692.75,1.00,3.04
480,71009.55,1.45,6.63
490,85203.98,1.14,4.19
500,96234.87,0.98,2.80
510,103626.12,0.95,2.39
520,105765.48,0.93,2.36
530,98334.94,1.00,2.67
540,81887.86,1.36,13.03
550,89708.03,1.03,3.18
560,89416.14,1.04,3.22
570,96258.71,1.00,2.80
580,104811.99,0.94,2.32
590,103390.32,0.96,2.28
600,91712.40,1.03,2.89

===== Time-Series Benchmark Complete =====
