===== Spring Boot Time-Series Benchmark =====
Instance Type: c7i-flex.xlarge
Run: 5
Spring Boot Host: springboot-server-c7i-flex-xlarge
Timestamp: 2026-01-21T15:02:20+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,99459.06,0.99,2.40
20,82299.71,1.14,3.05
30,74336.38,1.20,3.49
40,83970.75,1.12,3.37
50,96111.61,1.02,2.40
60,98004.42,1.00,2.42
70,98713.76,0.99,2.36
80,92558.62,1.06,2.57
90,71199.81,1.27,3.68
100,73797.85,1.24,3.82
110,89658.22,1.10,2.88
120,91418.46,1.08,2.67
130,93781.55,1.06,2.60
140,93696.17,1.05,2.55
150,82193.07,1.15,3.12
160,75180.77,1.21,3.70
170,84012.44,1.13,3.26
180,93243.37,1.05,2.80
190,92526.84,1.06,2.53
200,98816.23,1.00,2.42
210,95472.87,1.02,2.55
220,77210.24,1.18,3.56
230,81089.96,1.13,3.39
240,88575.42,1.08,3.15
250,95074.08,1.03,2.52
260,96817.60,1.01,2.44
270,97630.52,1.01,2.44
280,86142.25,1.10,3.03
290,80071.73,1.15,3.47
300,78781.20,1.18,3.41
310,93054.54,1.05,2.62
320,94714.62,1.03,2.49
330,95788.50,1.03,2.47
340,96788.42,1.01,2.51
350,79897.00,1.15,3.40
360,81945.09,1.13,3.20
370,86748.27,1.09,3.11
380,95772.29,1.02,2.51
390,96738.53,1.02,2.47
400,98969.53,0.99,2.42
410,88850.22,1.06,2.90
420,81405.19,1.13,3.32
430,81681.49,1.14,3.46
440,90130.28,1.08,2.90
450,92880.89,1.05,2.77
460,94069.03,1.04,2.54
470,96274.51,1.02,2.46
480,80641.57,1.14,3.32
490,81375.66,1.13,3.31
500,82568.29,1.14,3.40
510,91197.25,1.06,2.84
520,95273.42,1.03,2.53
530,98603.90,1.00,2.46
540,94531.18,1.02,2.67
550,80700.16,1.14,3.53
560,81192.24,1.15,3.46
570,87304.74,1.10,3.38
580,94808.84,1.03,2.53
590,96475.63,1.01,2.47
600,96436.59,1.02,2.51

===== Time-Series Benchmark Complete =====
