===== Spring Boot Time-Series Benchmark =====
Instance Type: c7i-flex.xlarge
Run: 3
Spring Boot Host: springboot-server-c7i-flex-xlarge
Timestamp: 2026-01-22T01:41:03+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,53507.10,2.41,16.80
20,94178.79,1.08,3.21
30,89324.45,1.19,4.73
40,84079.08,1.07,3.34
50,96231.26,0.98,2.92
60,93871.41,1.06,3.22
70,87396.45,1.18,4.83
80,97253.54,1.01,2.70
90,88996.84,1.15,3.31
100,87068.99,1.09,3.37
110,85834.09,1.08,3.31
120,93015.80,1.04,2.88
130,90939.53,1.05,3.03
140,96111.71,1.00,2.70
150,100002.22,1.02,2.73
160,103618.14,0.95,2.48
170,91368.93,1.00,3.19
180,93913.23,0.99,2.96
190,101776.74,0.96,2.70
200,99801.71,0.96,2.71
210,100947.20,0.96,2.60
220,103456.56,0.96,2.42
230,100990.81,0.94,2.68
240,94708.62,0.98,3.13
250,101321.49,0.94,2.65
260,101870.28,0.93,2.69
270,99696.77,0.96,2.81
280,96887.80,1.01,2.73
290,94576.02,1.06,2.84
300,90575.73,1.02,3.15
310,91162.10,1.02,3.20
320,98804.62,0.98,2.73
330,93043.47,1.02,2.99
340,92993.43,1.05,3.04
350,103604.67,0.95,2.55
360,100215.04,0.97,2.60
370,92668.43,1.00,3.23
380,92084.61,1.02,3.18
390,93219.93,1.04,2.80
400,84926.57,1.12,3.21
410,91824.29,1.06,2.83
420,91981.83,1.07,2.72
430,87606.62,1.09,3.12
440,91279.63,1.01,3.06
450,95225.80,1.01,2.84
460,92367.75,1.05,3.09
470,96498.25,0.98,2.73
480,103568.98,0.95,2.52
490,103706.28,0.94,2.55
500,92162.20,1.00,3.14
510,94848.32,0.99,2.96
520,101005.74,0.96,2.67
530,99502.52,0.95,2.72
540,101078.87,0.96,2.63
550,107656.74,0.91,2.39
560,99490.40,0.96,2.82
570,92280.73,1.01,3.16
580,98043.94,0.98,2.94
590,100333.08,0.95,2.67
600,100016.59,0.96,2.82

===== Time-Series Benchmark Complete =====
