instance_type,cold_start_avg,cold_start_std,seq_index_avg,seq_index_std,bulk_index_avg,bulk_index_std,search_match_all_avg,search_match_all_std,search_term_avg,search_term_std,gc_time_avg,gc_time_std
c5.xlarge,15274.80,585.09,2096.80,54.74,394.20,6.30,24.80,1.60,12.40,1.20,0,0
c6g.xlarge,15787.00,536.00,2255.50,86.50,454.00,0,0,0,0,0,0,0
