instance_type,jvm_startup_sec,process_running_sec,starting_time,completed_time,coldstart_to_http_ms
c5.xlarge,2.897,3.382,2026-01-15T15:03:55.857Z,2026-01-15T15:04:26.554Z,30697
c5a.xlarge,2.858,3.324,2026-01-15T14:38:22.691Z,2026-01-15T14:38:54.444Z,31753
c5d.xlarge,2.79,3.276,2026-01-15T15:03:56.136Z,2026-01-15T15:04:26.167Z,30031
c5n.xlarge,3.079,3.575,2026-01-15T15:03:55.775Z,2026-01-15T15:04:25.834Z,30059
c6g.xlarge,2.966,3.44,2026-01-15T15:03:56.170Z,2026-01-15T15:04:26.821Z,30651
c6gd.xlarge,2.903,3.378,2026-01-15T15:03:55.817Z,2026-01-15T15:04:26.046Z,30229
c6gn.xlarge,2.902,3.375,2026-01-15T15:03:55.819Z,2026-01-15T15:04:25.882Z,30063
c6i.xlarge,2.734,3.171,2026-01-15T15:03:55.740Z,2026-01-15T15:04:26.844Z,31104
c6id.xlarge,2.42,2.841,2026-01-15T15:03:55.616Z,2026-01-15T15:04:26.449Z,30833
c6in.xlarge,2.576,3.01,2026-01-15T15:03:55.682Z,2026-01-15T15:04:26.188Z,30506
c7g.xlarge,2.301,2.671,2026-01-15T15:03:55.663Z,2026-01-15T15:04:25.961Z,30298
c7gd.xlarge,2.094,2.441,2026-01-15T15:03:55.480Z,2026-01-15T15:04:26.089Z,30609
c7i-flex.xlarge,1.54,1.809,2026-01-15T15:03:55.596Z,2026-01-15T15:04:26.198Z,30602
c8g.xlarge,1.775,2.045,2026-01-15T15:03:55.373Z,2026-01-15T15:04:26.440Z,31067
c8i-flex.xlarge,1.848,2.148,2026-01-15T15:03:55.736Z,2026-01-15T15:04:27.028Z,31292
c8i.xlarge,1.809,2.102,2026-01-15T15:03:55.517Z,2026-01-15T15:04:26.434Z,30917
m5.xlarge,3.401,3.941,2026-01-15T15:03:56.104Z,2026-01-15T15:04:26.376Z,30272
m5a.xlarge,4.903,5.605,2026-01-15T14:38:28.960Z,2026-01-15T14:38:59.029Z,30069
m5ad.xlarge,4.617,5.332,2026-01-15T14:38:40.494Z,2026-01-15T14:39:10.195Z,29701
m5d.xlarge,3.207,3.745,2026-01-15T15:03:56.446Z,2026-01-15T15:04:26.538Z,30092
m5zn.xlarge,2.513,2.904,2026-01-15T15:03:55.746Z,2026-01-15T15:04:25.960Z,30214
m6g.xlarge,3.09,3.574,2026-01-15T15:03:56.119Z,2026-01-15T15:04:26.150Z,30031
m6gd.xlarge,3.161,3.646,2026-01-15T15:03:56.388Z,2026-01-15T15:04:26.670Z,30282
m6i.xlarge,2.357,2.778,2026-01-15T15:03:56.018Z,2026-01-15T15:04:26.214Z,30196
m6id.xlarge,2.391,2.806,2026-01-15T15:03:56.397Z,2026-01-15T15:04:25.552Z,29155
m6idn.xlarge,2.636,3.036,2026-01-15T15:03:56.657Z,2026-01-15T15:04:27.525Z,30868
m6in.xlarge,2.509,2.929,2026-01-15T15:03:56.290Z,2026-01-15T15:04:26.638Z,30348
m7g.xlarge,2.329,2.689,2026-01-15T15:03:56.294Z,2026-01-15T15:04:26.922Z,30628
m7gd.xlarge,2.136,2.476,2026-01-15T15:03:56.169Z,2026-01-15T15:04:27.432Z,31263
m7i-flex.xlarge,2.383,2.814,2026-01-15T15:03:56.463Z,2026-01-15T15:04:26.667Z,30204
m7i.xlarge,2.215,2.549,2026-01-15T15:03:56.268Z,2026-01-15T15:04:26.925Z,30657
m8g.xlarge,1.791,2.058,2026-01-15T15:03:56.227Z,2026-01-15T15:04:28.582Z,32355
m8i.xlarge,1.811,2.109,2026-01-15T15:03:59.474Z,2026-01-15T15:04:30.336Z,30862
r5a.xlarge,4.733,5.445,2026-01-15T14:38:40.666Z,2026-01-15T14:39:11.018Z,30352
r5ad.xlarge,4.634,5.355,2026-01-15T14:38:40.350Z,2026-01-15T14:39:10.005Z,29655
r5b.xlarge,3.161,3.687,2026-01-15T15:03:56.874Z,2026-01-15T15:04:27.373Z,30499
r5d.xlarge,3.212,3.731,2026-01-15T15:03:57.000Z,2026-01-15T15:04:27.264Z,30264
r5dn.xlarge,3.207,3.748,2026-01-15T15:03:56.882Z,2026-01-15T15:04:27.453Z,30571
r5n.xlarge,4.868,5.489,2026-01-15T14:50:07.031Z,2026-01-15T14:50:38.122Z,31091
r6g.xlarge,3.047,3.559,2026-01-15T15:03:56.971Z,2026-01-15T15:04:28.853Z,31882
r6gd.xlarge,2.959,3.422,2026-01-15T15:03:56.714Z,2026-01-15T15:04:27.437Z,30723
r6i.xlarge,2.319,2.762,2026-01-15T15:03:56.597Z,2026-01-15T15:04:27.177Z,30580
r6id.xlarge,2.377,2.807,2026-01-15T15:03:56.800Z,2026-01-15T15:04:28.876Z,32076
r7g.xlarge,2.119,2.455,2026-01-15T15:03:57.509Z,2026-01-15T15:04:28.141Z,30632
r7gd.xlarge,2.111,2.449,2026-01-15T15:03:57.610Z,2026-01-15T15:04:29.793Z,32183
r7i.xlarge,2.134,2.537,2026-01-15T15:03:56.623Z,2026-01-15T15:04:27.287Z,30664
r8g.xlarge,1.691,1.961,2026-01-15T15:03:56.385Z,2026-01-15T15:04:27.073Z,30688
r8i-flex.xlarge,1.938,2.264,2026-01-15T15:03:56.461Z,2026-01-15T15:04:26.879Z,30418
r8i.xlarge,1.907,2.234,2026-01-15T15:03:56.457Z,2026-01-15T15:04:27.446Z,30989
